"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 00:04:51 MSK 2025","Thu Sep 04 00:04:57 MSK 2025","6098","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromRegisterFormTest [chrome]","Вход со страницы регистрации",""
"passed","Thu Sep 04 00:05:44 MSK 2025","Thu Sep 04 00:05:48 MSK 2025","4751","","UI-тесты регистрации пользователя","","praktikum.tests.stellarburgers.tests.RegisterTests","weakPasswordRegistrationTest [yandex]","Ошибка регистрации при коротком пароле",""
"passed","Thu Sep 04 00:04:10 MSK 2025","Thu Sep 04 00:04:17 MSK 2025","7690","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","bunsTabBecomesActiveTest [chrome]","Переключение вкладок: Булки",""
"passed","Thu Sep 04 00:05:09 MSK 2025","Thu Sep 04 00:05:15 MSK 2025","6219","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromMainTest [yandex]","Вход через кнопку «Войти в аккаунт» на главной","Проверка логина с главной страницы"
"passed","Thu Sep 04 00:04:05 MSK 2025","Thu Sep 04 00:04:10 MSK 2025","5067","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","saucesTabBecomesActiveTest [chrome]","Переключение вкладок: Соусы",""
"passed","Thu Sep 04 00:04:26 MSK 2025","Thu Sep 04 00:04:31 MSK 2025","5414","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","bunsTabBecomesActiveTest [yandex]","Переключение вкладок: Булки",""
"passed","Thu Sep 04 00:05:38 MSK 2025","Thu Sep 04 00:05:44 MSK 2025","5538","","UI-тесты регистрации пользователя","","praktikum.tests.stellarburgers.tests.RegisterTests","successRegistrationTest [yandex]","Успешная регистрация нового пользователя","Регистрация с валидными данными и последующая проверка входа в профиль"
"passed","Thu Sep 04 00:04:45 MSK 2025","Thu Sep 04 00:04:51 MSK 2025","5994","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromMainTest [chrome]","Вход через кнопку «Войти в аккаунт» на главной","Проверка логина с главной страницы"
"passed","Thu Sep 04 00:04:31 MSK 2025","Thu Sep 04 00:04:36 MSK 2025","4362","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","fillingsTabBecomesActiveTest [yandex]","Переключение вкладок: Начинки",""
"passed","Thu Sep 04 00:05:28 MSK 2025","Thu Sep 04 00:05:34 MSK 2025","5792","","UI-тесты регистрации пользователя","","praktikum.tests.stellarburgers.tests.RegisterTests","successRegistrationTest [chrome]","Успешная регистрация нового пользователя","Регистрация с валидными данными и последующая проверка входа в профиль"
"passed","Thu Sep 04 00:04:57 MSK 2025","Thu Sep 04 00:05:03 MSK 2025","6097","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromProfileLinkTest [chrome]","Вход через ссылку «Личный кабинет»",""
"passed","Thu Sep 04 00:04:17 MSK 2025","Thu Sep 04 00:04:22 MSK 2025","4165","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","fillingsTabBecomesActiveTest [chrome]","Переключение вкладок: Начинки",""
"passed","Thu Sep 04 00:05:15 MSK 2025","Thu Sep 04 00:05:22 MSK 2025","6261","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromRegisterFormTest [yandex]","Вход со страницы регистрации",""
"passed","Thu Sep 04 00:04:36 MSK 2025","Thu Sep 04 00:04:45 MSK 2025","8389","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromRestoreFormTest [chrome]","Вход со страницы восстановления пароля",""
"passed","Thu Sep 04 00:05:03 MSK 2025","Thu Sep 04 00:05:09 MSK 2025","6397","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromRestoreFormTest [yandex]","Вход со страницы восстановления пароля",""
"passed","Thu Sep 04 00:05:22 MSK 2025","Thu Sep 04 00:05:28 MSK 2025","6112","","UI-тесты входа в аккаунт","","praktikum.tests.stellarburgers.tests.LoginTests","loginFromProfileLinkTest [yandex]","Вход через ссылку «Личный кабинет»",""
"passed","Thu Sep 04 00:04:22 MSK 2025","Thu Sep 04 00:04:26 MSK 2025","4414","","UI-тесты вкладок конструктора бургера","","praktikum.tests.stellarburgers.tests.ConstructorTabsTests","saucesTabBecomesActiveTest [yandex]","Переключение вкладок: Соусы",""
"passed","Thu Sep 04 00:05:34 MSK 2025","Thu Sep 04 00:05:38 MSK 2025","4585","","UI-тесты регистрации пользователя","","praktikum.tests.stellarburgers.tests.RegisterTests","weakPasswordRegistrationTest [chrome]","Ошибка регистрации при коротком пароле",""
